Series_Title,IMDB_Rating,Genre,Runtime,Certificate,Released_Year
Gully Boy,8.0,"Drama, Music, Romance",154 min,UA,2019
Special Chabbis,8.0,"Crime, Drama, Thriller",144 min,UA,2013
Short Term 12,8.0,Drama,96 min,R,2013
Serbuan maut 2: Berandal,8.0,"Action, Crime, Thriller",150 min,A,2014
The Imitation Game,8.0,"Biography, Drama, Thriller",114 min,UA,2014
Guardians of the Galaxy,8.0,"Action, Adventure, Comedy",121 min,UA,2014
Blade Runner 2049,8.0,"Action, Drama, Mystery",164 min,UA,2017
Her,8.0,"Drama, Romance, Sci-Fi",126 min,A,2013
Bohemian Rhapsody,8.0,"Biography, Drama, Music",134 min,UA,2018
The Revenant,8.0,"Action, Adventure, Drama",156 min,A,2015
The Perks of Being a Wallflower,8.0,"Drama, Romance",103 min,UA,2012
Tropa de Elite 2: O Inimigo Agora é Outro,8.0,"Action, Crime, Drama",115 min,,2010
The King's Speech,8.0,"Biography, Drama, History",118 min,U,2010
The Help,8.0,Drama,146 min,UA,2011
Deadpool,8.0,"Action, Adventure, Comedy",108 min,R,2016
Darbareye Elly,8.0,"Drama, Mystery",119 min,TV-PG,2009
Dev.D,8.0,"Drama, Romance",144 min,A,2009
Yip Man,8.0,"Action, Biography, Drama",106 min,R,2008
My Name Is Khan,8.0,Drama,165 min,UA,2010
Nefes: Vatan Sagolsun,8.0,"Action, Drama, Thriller",128 min,,2009
Slumdog Millionaire,8.0,"Drama, Romance",120 min,UA,2008
Black Swan,8.0,"Drama, Thriller",108 min,A,2010
Tropa de Elite,8.0,"Action, Crime, Drama",115 min,R,2007
The Avengers,8.0,"Action, Adventure, Sci-Fi",143 min,UA,2012
Persepolis,8.0,"Animation, Biography, Drama",96 min,PG-13,2007
Dallas Buyers Club,8.0,"Biography, Drama",117 min,R,2013
The Pursuit of Happyness,8.0,"Biography, Drama",117 min,U,2006
Blood Diamond,8.0,"Adventure, Drama, Thriller",143 min,A,2006
The Bourne Ultimatum,8.0,"Action, Mystery, Thriller",115 min,UA,2007
Bin-jip,8.0,"Crime, Drama, Romance",88 min,U,2004
Sin City,8.0,"Crime, Thriller",124 min,A,2005
Le scaphandre et le papillon,8.0,"Biography, Drama",112 min,PG-13,2007
G.O.R.A.,8.0,"Adventure, Comedy, Sci-Fi",127 min,,2004
Ratatouille,8.0,"Animation, Adventure, Comedy",111 min,U,2007
Casino Royale,8.0,"Action, Adventure, Thriller",144 min,PG-13,2006
Kill Bill: Vol. 2,8.0,"Action, Crime, Thriller",137 min,A,2004
Vozvrashchenie,8.0,Drama,110 min,,2003
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,8.0,"Drama, Romance",103 min,R,2003
Mar adentro,8.0,"Biography, Drama",126 min,U,2014
Cinderella Man,8.0,"Biography, Drama, History",144 min,UA,2005
Kal Ho Naa Ho,8.0,"Comedy, Drama, Musical",186 min,U,2003
Mou gaan dou,8.0,"Action, Crime, Drama",101 min,UA,2002
Pirates of the Caribbean: The Curse of the Black Pearl,8.0,"Action, Adventure, Fantasy",143 min,UA,2003
Big Fish,8.0,"Adventure, Drama, Fantasy",125 min,U,2003
The Incredibles,8.0,"Animation, Action, Adventure",115 min,U,2004
Yeopgijeogin geunyeo,8.0,"Comedy, Drama, Romance",137 min,,2001
Dogville,8.0,"Crime, Drama",178 min,R,2003
Vizontele,8.0,"Comedy, Drama",110 min,,2001
Donnie Darko,8.0,"Drama, Mystery, Sci-Fi",113 min,R,2001
Magnolia,8.0,Drama,188 min,R,1999
Dancer in the Dark,8.0,"Crime, Drama, Musical",140 min,U,2000
The Straight Story,8.0,"Biography, Drama",112 min,U,1999
Pâfekuto burû,8.0,"Animation, Crime, Mystery",81 min,A,1997
Festen,8.0,Drama,105 min,R,1998
Central do Brasil,8.0,Drama,110 min,R,1998
The Iron Giant,8.0,"Animation, Action, Adventure",86 min,PG,1999
Knockin' on Heaven's Door,8.0,"Action, Crime, Comedy",87 min,,1997
Sling Blade,8.0,Drama,135 min,R,1996
Secrets & Lies,8.0,"Comedy, Drama",136 min,U,1996
Twelve Monkeys,8.0,"Mystery, Sci-Fi, Thriller",129 min,A,1995
Kôkaku Kidôtai,8.0,"Animation, Action, Crime",83 min,UA,1995
The Nightmare Before Christmas,8.0,"Animation, Family, Fantasy",76 min,U,1993
Groundhog Day,8.0,"Comedy, Fantasy, Romance",101 min,U,1993
Bound by Honor,8.0,"Crime, Drama",180 min,R,1993
Scent of a Woman,8.0,Drama,156 min,UA,1992
Aladdin,8.0,"Animation, Adventure, Comedy",90 min,U,1992
JFK,8.0,"Drama, History, Thriller",189 min,UA,1991
Beauty and the Beast,8.0,"Animation, Family, Fantasy",84 min,G,1991
Dances with Wolves,8.0,"Adventure, Drama, Western",181 min,U,1990
Do the Right Thing,8.0,"Comedy, Drama",120 min,R,1989
Rain Man,8.0,Drama,133 min,U,1988
Akira,8.0,"Animation, Action, Sci-Fi",124 min,UA,1988
The Princess Bride,8.0,"Adventure, Family, Fantasy",98 min,U,1987
Der Himmel über Berlin,8.0,"Drama, Fantasy, Romance",128 min,U,1987
Au revoir les enfants,8.0,"Drama, War",104 min,U,1987
Tenkû no shiro Rapyuta,8.0,"Animation, Adventure, Drama",125 min,U,1986
The Terminator,8.0,"Action, Sci-Fi",107 min,UA,1984
Gandhi,8.0,"Biography, Drama, History",191 min,U,1982
Kagemusha,8.0,"Drama, History, War",180 min,U,1980
Being There,8.0,"Comedy, Drama",130 min,PG,1979
Annie Hall,8.0,"Comedy, Romance",93 min,A,1977
Jaws,8.0,"Adventure, Thriller",124 min,A,1975
Dog Day Afternoon,8.0,"Biography, Crime, Drama",125 min,U,1975
Young Frankenstein,8.0,Comedy,106 min,A,1974
Papillon,8.0,"Biography, Crime, Drama",151 min,R,1973
The Exorcist,8.0,Horror,122 min,A,1973
Sleuth,8.0,"Mystery, Thriller",138 min,PG,1972
The Last Picture Show,8.0,"Drama, Romance",118 min,R,1971
Fiddler on the Roof,8.0,"Drama, Family, Musical",181 min,G,1971
Il conformista,8.0,Drama,113 min,UA,1970
Butch Cassidy and the Sundance Kid,8.0,"Biography, Crime, Drama",110 min,PG,1969
Rosemary's Baby,8.0,"Drama, Horror",137 min,A,1968
Planet of the Apes,8.0,"Adventure, Sci-Fi",112 min,U,1968
The Graduate,8.0,"Comedy, Drama, Romance",106 min,A,1967
Who's Afraid of Virginia Woolf?,8.0,Drama,131 min,A,1966
The Sound of Music,8.0,"Biography, Drama, Family",172 min,U,1965
Doctor Zhivago,8.0,"Drama, Romance, War",197 min,A,1965
Per un pugno di dollari,8.0,"Action, Drama, Western",99 min,A,1964
8½,8.0,Drama,138 min,,1963
Vivre sa vie: Film en douze tableaux,8.0,Drama,80 min,,1962
The Hustler,8.0,"Drama, Sport",134 min,A,1961
La dolce vita,8.0,"Comedy, Drama",174 min,A,1960
Rio Bravo,8.0,"Action, Drama, Western",141 min,Passed,1959
Anatomy of a Murder,8.0,"Crime, Drama, Mystery",161 min,,1959
Touch of Evil,8.0,"Crime, Drama, Film-Noir",95 min,PG-13,1958
Cat on a Hot Tin Roof,8.0,Drama,108 min,A,1958
Sweet Smell of Success,8.0,"Drama, Film-Noir",96 min,Approved,1957
The Killing,8.0,"Crime, Drama, Film-Noir",84 min,Approved,1956
The Night of the Hunter,8.0,"Crime, Drama, Film-Noir",92 min,,1955
La Strada,8.0,Drama,108 min,,1954
Les diaboliques,8.0,"Crime, Drama, Horror",117 min,,1955
Stalag 17,8.0,"Comedy, Drama, War",120 min,,1953
Roman Holiday,8.0,"Comedy, Romance",118 min,,1953
A Streetcar Named Desire,8.0,Drama,122 min,A,1951
In a Lonely Place,8.0,"Drama, Film-Noir, Mystery",94 min,,1950
Kind Hearts and Coronets,8.0,"Comedy, Crime",106 min,U,1949
Rope,8.0,"Crime, Drama, Mystery",80 min,A,1948
Out of the Past,8.0,"Crime, Drama, Film-Noir",97 min,,1947
Brief Encounter,8.0,"Drama, Romance",86 min,U,1945
Laura,8.0,"Drama, Film-Noir, Mystery",88 min,Passed,1944
The Best Years of Our Lives,8.0,"Drama, Romance, War",170 min,Approved,1946
Arsenic and Old Lace,8.0,"Comedy, Crime, Thriller",118 min,,1942
The Maltese Falcon,8.0,"Film-Noir, Mystery",100 min,,1941
The Grapes of Wrath,8.0,"Drama, History",129 min,Passed,1940
The Wizard of Oz,8.0,"Adventure, Family, Fantasy",102 min,U,1939
La règle du jeu,8.0,"Comedy, Drama",110 min,,1939
The Thin Man,8.0,"Comedy, Crime, Mystery",91 min,TV-PG,1934
All Quiet on the Western Front,8.0,"Drama, War",152 min,U,1930
Bronenosets Potemkin,8.0,"Drama, History, Thriller",75 min,,1925
Knives Out,7.9,"Comedy, Crime, Drama",130 min,UA,2019
Dil Bechara,7.9,"Comedy, Drama, Romance",101 min,UA,2020
Manbiki kazoku,7.9,"Crime, Drama",121 min,A,2018
Marriage Story,7.9,"Comedy, Drama, Romance",137 min,U,2019
Call Me by Your Name,7.9,"Drama, Romance",132 min,UA,2017
"I, Daniel Blake",7.9,Drama,100 min,UA,2016
Isle of Dogs,7.9,"Animation, Adventure, Comedy",101 min,U,2018
Hunt for the Wilderpeople,7.9,"Adventure, Comedy, Drama",101 min,UA,2016
Captain Fantastic,7.9,"Comedy, Drama",118 min,R,2016
Sing Street,7.9,"Comedy, Drama, Music",106 min,PG-13,2016
Thor: Ragnarok,7.9,"Action, Adventure, Comedy",130 min,UA,2017
Nightcrawler,7.9,"Crime, Drama, Thriller",117 min,A,2014
Jojo Rabbit,7.9,"Comedy, Drama, War",108 min,UA,2019
Arrival,7.9,"Drama, Sci-Fi",116 min,UA,2016
Star Wars: Episode VII - The Force Awakens,7.9,"Action, Adventure, Sci-Fi",138 min,U,2015
Before Midnight,7.9,"Drama, Romance",109 min,R,2013
X-Men: Days of Future Past,7.9,"Action, Adventure, Sci-Fi",132 min,UA,2014
Bir Zamanlar Anadolu'da,7.9,"Crime, Drama",157 min,,2011
The Artist,7.9,"Comedy, Drama, Romance",100 min,U,2011
Edge of Tomorrow,7.9,"Action, Adventure, Sci-Fi",113 min,UA,2014
Amour,7.9,"Drama, Romance",127 min,UA,2012
The Irishman,7.9,"Biography, Crime, Drama",209 min,R,2019
Un prophète,7.9,"Crime, Drama",155 min,A,2009
Moon,7.9,"Drama, Mystery, Sci-Fi",97 min,R,2009
Låt den rätte komma in,7.9,"Crime, Drama, Fantasy",114 min,R,2008
District 9,7.9,"Action, Sci-Fi, Thriller",112 min,A,2009
The Wrestler,7.9,"Drama, Sport",109 min,UA,2008
Jab We Met,7.9,"Comedy, Drama, Romance",138 min,U,2007
Boyhood,7.9,Drama,165 min,A,2014
"4 luni, 3 saptamâni si 2 zile",7.9,Drama,113 min,,2007
Star Trek,7.9,"Action, Adventure, Sci-Fi",127 min,UA,2009
In Bruges,7.9,"Comedy, Crime, Drama",107 min,R,2008
The Man from Earth,7.9,"Drama, Fantasy, Mystery",87 min,,2007
Letters from Iwo Jima,7.9,"Action, Adventure, Drama",141 min,UA,2006
The Fall,7.9,"Adventure, Drama, Fantasy",117 min,R,2006
Life of Pi,7.9,"Adventure, Drama, Fantasy",127 min,U,2012
Fantastic Mr. Fox,7.9,"Animation, Adventure, Comedy",87 min,PG,2009
C.R.A.Z.Y.,7.9,"Comedy, Drama",129 min,,2005
Les choristes,7.9,"Drama, Music",97 min,PG-13,2004
Iron Man,7.9,"Action, Adventure, Sci-Fi",126 min,UA,2008
Shaun of the Dead,7.9,"Comedy, Horror",99 min,UA,2004
Gegen die Wand,7.9,"Drama, Romance",121 min,R,2004
Mystic River,7.9,"Crime, Drama, Mystery",138 min,A,2003
Harry Potter and the Prisoner of Azkaban,7.9,"Adventure, Family, Fantasy",142 min,U,2004
Ying xiong,7.9,"Action, Adventure, History",120 min,PG-13,2002
Hable con ella,7.9,"Drama, Mystery, Romance",112 min,R,2002
No Man's Land,7.9,"Comedy, Drama, War",98 min,R,2001
Cowboy Bebop: Tengoku no tobira,7.9,"Animation, Action, Crime",115 min,U,2001
The Bourne Identity,7.9,"Action, Mystery, Thriller",119 min,UA,2002
Nueve reinas,7.9,"Crime, Drama, Thriller",114 min,R,2000
Children of Men,7.9,"Adventure, Drama, Sci-Fi",109 min,A,2006
Almost Famous,7.9,"Adventure, Comedy, Drama",122 min,A,2000
Mulholland Dr.,7.9,"Drama, Mystery, Thriller",147 min,R,2001
Toy Story 2,7.9,"Animation, Adventure, Comedy",92 min,U,1999
Boogie Nights,7.9,Drama,155 min,R,1997
Mimi wo sumaseba,7.9,"Animation, Drama, Family",111 min,U,1995
Once Were Warriors,7.9,"Crime, Drama",102 min,A,1994
True Romance,7.9,"Crime, Drama, Romance",119 min,R,1993
Trois couleurs: Bleu,7.9,"Drama, Music, Mystery",94 min,U,1993
Jûbê ninpûchô,7.9,"Animation, Action, Adventure",94 min,A,1993
Carlito's Way,7.9,"Crime, Drama, Thriller",144 min,A,1993
Edward Scissorhands,7.9,"Drama, Fantasy, Romance",105 min,U,1990
My Left Foot: The Story of Christy Brown,7.9,"Biography, Drama",103 min,U,1989
Crimes and Misdemeanors,7.9,"Comedy, Drama",104 min,PG-13,1989
The Untouchables,7.9,"Crime, Drama, Thriller",119 min,A,1987
Hannah and Her Sisters,7.9,"Comedy, Drama",107 min,PG-13,1986
Brazil,7.9,"Drama, Sci-Fi",132 min,U,1985
This Is Spinal Tap,7.9,"Comedy, Music",82 min,R,1984
A Christmas Story,7.9,"Comedy, Family",93 min,U,1983
The Blues Brothers,7.9,"Action, Adventure, Comedy",133 min,U,1980
Manhattan,7.9,"Comedy, Drama, Romance",96 min,R,1979
All That Jazz,7.9,"Drama, Music, Musical",123 min,A,1979
Dawn of the Dead,7.9,"Action, Adventure, Horror",127 min,A,1978
All the President's Men,7.9,"Biography, Drama, History",138 min,U,1976
La montaña sagrada,7.9,"Adventure, Drama, Fantasy",114 min,R,1973
Amarcord,7.9,"Comedy, Drama, Family",123 min,R,1973
Le charme discret de la bourgeoisie,7.9,Comedy,102 min,PG,1972
"Aguirre, der Zorn Gottes",7.9,"Action, Adventure, Biography",95 min,,1972
Harold and Maude,7.9,"Comedy, Drama, Romance",91 min,PG,1971
Patton,7.9,"Biography, Drama, War",172 min,U,1970
The Wild Bunch,7.9,"Action, Adventure, Western",145 min,A,1969
Night of the Living Dead,7.9,"Horror, Thriller",96 min,,1968
The Lion in Winter,7.9,"Biography, Drama, History",134 min,PG,1968
In the Heat of the Night,7.9,"Crime, Drama, Mystery",110 min,U,1967
Charade,7.9,"Comedy, Mystery, Romance",113 min,U,1963
The Manchurian Candidate,7.9,"Drama, Thriller",126 min,PG-13,1962
Spartacus,7.9,"Adventure, Biography, Drama",197 min,A,1960
L'avventura,7.9,"Drama, Mystery",144 min,U,1960
Hiroshima mon amour,7.9,"Drama, Romance",90 min,,1959
The Ten Commandments,7.9,"Adventure, Drama",220 min,U,1956
The Searchers,7.9,"Adventure, Drama, Western",119 min,Passed,1956
East of Eden,7.9,Drama,118 min,U,1955
High Noon,7.9,"Drama, Thriller, Western",85 min,PG,1952
Strangers on a Train,7.9,"Crime, Film-Noir, Thriller",101 min,A,1951
Harvey,7.9,"Comedy, Drama, Fantasy",104 min,Approved,1950
Miracle on 34th Street,7.9,"Comedy, Drama, Family",96 min,,1947
Notorious,7.9,"Drama, Film-Noir, Romance",102 min,U,1946
The Big Sleep,7.9,"Crime, Film-Noir, Mystery",114 min,Passed,1946
The Lost Weekend,7.9,"Drama, Film-Noir",101 min,Passed,1945
The Philadelphia Story,7.9,"Comedy, Romance",112 min,,1940
His Girl Friday,7.9,"Comedy, Drama, Romance",92 min,Passed,1940
The Adventures of Robin Hood,7.9,"Action, Adventure, Romance",102 min,PG,1938
A Night at the Opera,7.9,"Comedy, Music, Musical",96 min,Passed,1935
King Kong,7.9,"Adventure, Horror, Sci-Fi",100 min,Passed,1933
Freaks,7.9,"Drama, Horror",64 min,,1932
Nosferatu,7.9,"Fantasy, Horror",94 min,,1922
The Gentlemen,7.8,"Action, Comedy, Crime",113 min,A,2019
Raazi,7.8,"Action, Drama, Thriller",138 min,UA,2018
Sound of Metal,7.8,"Drama, Music",120 min,R,2019
Forushande,7.8,Drama,124 min,UA,2016
Dunkirk,7.8,"Action, Drama, History",106 min,UA,2017
Perfetti sconosciuti,7.8,"Comedy, Drama",96 min,,2016
Hidden Figures,7.8,"Biography, Drama, History",127 min,UA,2016
Paddington 2,7.8,"Adventure, Comedy, Family",103 min,U,2017
Udta Punjab,7.8,"Action, Crime, Drama",148 min,A,2016
Kubo and the Two Strings,7.8,"Animation, Action, Adventure",101 min,PG,2016
M.S. Dhoni: The Untold Story,7.8,"Biography, Drama, Sport",184 min,U,2016
Manchester by the Sea,7.8,Drama,137 min,UA,2016
Under sandet,7.8,"Drama, History, War",100 min,R,2015
Rogue One,7.8,"Action, Adventure, Sci-Fi",133 min,UA,2016
Captain America: Civil War,7.8,"Action, Adventure, Sci-Fi",147 min,UA,2016
The Hateful Eight,7.8,"Crime, Drama, Mystery",168 min,A,2015
Little Women,7.8,"Drama, Romance",135 min,U,2019
Loving Vincent,7.8,"Animation, Biography, Crime",94 min,UA,2017
Pride,7.8,"Biography, Comedy, Drama",119 min,R,2014
Le passé,7.8,"Drama, Mystery",130 min,PG-13,2013
La grande bellezza,7.8,Drama,141 min,,2013
The Lunchbox,7.8,"Drama, Romance",104 min,U,2013
Vicky Donor,7.8,"Comedy, Romance",126 min,UA,2012
Big Hero 6,7.8,"Animation, Action, Adventure",102 min,U,2014
About Time,7.8,"Comedy, Drama, Fantasy",123 min,R,2013
English Vinglish,7.8,"Comedy, Drama, Family",134 min,U,2012
Kaze tachinu,7.8,"Animation, Biography, Drama",126 min,PG-13,2013
Toy Story 4,7.8,"Animation, Adventure, Comedy",100 min,U,2019
La migliore offerta,7.8,"Crime, Drama, Mystery",131 min,R,2013
Moonrise Kingdom,7.8,"Comedy, Drama, Romance",94 min,A,2012
How to Train Your Dragon 2,7.8,"Animation, Action, Adventure",102 min,U,2014
The Big Short,7.8,"Biography, Comedy, Drama",130 min,A,2015
Kokuhaku,7.8,"Drama, Thriller",106 min,,2010
Ang-ma-reul bo-at-da,7.8,"Action, Crime, Drama",144 min,,2010
The Girl with the Dragon Tattoo,7.8,"Crime, Drama, Mystery",158 min,R,2011
Captain Phillips,7.8,"Adventure, Biography, Crime",134 min,UA,2013
Ajeossi,7.8,"Action, Crime, Drama",119 min,R,2010
Straight Outta Compton,7.8,"Biography, Drama, History",147 min,R,2015
Madeo,7.8,"Crime, Drama, Mystery",129 min,R,2009
Chugyeokja,7.8,"Action, Crime, Thriller",125 min,,2008
The Hobbit: The Desolation of Smaug,7.8,"Adventure, Fantasy",161 min,UA,2013
Das weiße Band - Eine deutsche Kindergeschichte,7.8,"Drama, History, Mystery",144 min,UA,2009
Män som hatar kvinnor,7.8,"Crime, Drama, Mystery",152 min,R,2009
The Trial of the Chicago 7,7.8,"Drama, History, Thriller",129 min,R,2020
Druk,7.8,"Comedy, Drama",117 min,,2020
The Fighter,7.8,"Biography, Drama, Sport",116 min,UA,2010
Taken,7.8,"Action, Thriller",90 min,A,2008
The Boy in the Striped Pyjamas,7.8,"Drama, History, War",94 min,PG-13,2008
Once,7.8,"Drama, Music, Romance",86 min,R,2007
The Hobbit: An Unexpected Journey,7.8,"Adventure, Fantasy",169 min,UA,2012
Auf der anderen Seite,7.8,Drama,122 min,,2007
Atonement,7.8,"Drama, Mystery, Romance",123 min,R,2007
Drive,7.8,"Crime, Drama",100 min,A,2011
American Gangster,7.8,"Biography, Crime, Drama",157 min,A,2007
Avatar,7.8,"Action, Adventure, Fantasy",162 min,UA,2009
Mr. Nobody,7.8,"Drama, Fantasy, Romance",141 min,R,2009
Apocalypto,7.8,"Action, Adventure, Drama",139 min,A,2006
Little Miss Sunshine,7.8,"Comedy, Drama",101 min,UA,2006
Hot Fuzz,7.8,"Action, Comedy, Mystery",121 min,UA,2007
The Curious Case of Benjamin Button,7.8,"Drama, Fantasy, Romance",166 min,UA,2008
Veer-Zaara,7.8,"Drama, Family, Musical",192 min,U,2004
Adams æbler,7.8,"Comedy, Crime, Drama",94 min,R,2005
Pride & Prejudice,7.8,"Drama, Romance",129 min,PG,2005
The World's Fastest Indian,7.8,"Biography, Drama, Sport",127 min,U,2005
Tôkyô goddofâzâzu,7.8,"Animation, Adventure, Comedy",90 min,UA,2003
Serenity,7.8,"Action, Adventure, Sci-Fi",119 min,PG-13,2005
Walk the Line,7.8,"Biography, Drama, Music",136 min,PG-13,2005
Ondskan,7.8,Drama,113 min,,2003
The Notebook,7.8,"Drama, Romance",123 min,A,2004
Diarios de motocicleta,7.8,"Adventure, Biography, Drama",126 min,U,2004
Lilja 4-ever,7.8,"Crime, Drama",109 min,R,2002
Les triplettes de Belleville,7.8,"Animation, Comedy, Drama",80 min,PG-13,2003
Gongdong gyeongbi guyeok JSA,7.8,"Action, Drama, Thriller",110 min,,2000
The Count of Monte Cristo,7.8,"Action, Adventure, Drama",131 min,PG-13,2002
Waking Life,7.8,"Animation, Drama, Fantasy",99 min,R,2001
Remember the Titans,7.8,"Biography, Drama, Sport",113 min,U,2000
Wo hu cang long,7.8,"Action, Adventure, Fantasy",120 min,UA,2000
Todo sobre mi madre,7.8,Drama,101 min,R,1999
Cast Away,7.8,"Adventure, Drama, Romance",143 min,UA,2000
The Boondock Saints,7.8,"Action, Crime, Thriller",108 min,R,1999
The Insider,7.8,"Biography, Drama, Thriller",157 min,UA,1999
October Sky,7.8,"Biography, Drama, Family",108 min,PG,1999
Shrek,7.8,"Animation, Adventure, Comedy",90 min,U,2001
Titanic,7.8,"Drama, Romance",194 min,UA,1997
Hana-bi,7.8,"Crime, Drama, Romance",103 min,,1997
Gattaca,7.8,"Drama, Sci-Fi, Thriller",106 min,UA,1997
The Game,7.8,"Action, Drama, Mystery",129 min,UA,1997
Breaking the Waves,7.8,Drama,159 min,R,1996
Ed Wood,7.8,"Biography, Comedy, Drama",127 min,U,1994
What's Eating Gilbert Grape,7.8,Drama,118 min,U,1993
Tombstone,7.8,"Action, Biography, Drama",130 min,R,1993
The Sandlot,7.8,"Comedy, Drama, Family",101 min,U,1993
The Remains of the Day,7.8,"Drama, Romance",134 min,U,1993
Naked,7.8,"Comedy, Drama",132 min,,1993
The Fugitive,7.8,"Action, Crime, Drama",130 min,U,1993
A Bronx Tale,7.8,"Crime, Drama, Romance",121 min,R,1993
Batman: Mask of the Phantasm,7.8,"Animation, Action, Crime",76 min,PG,1993
